r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M
50.00,19.00,150.00,300.00,265.00,2.50,1.10,0.00,423.00,0.00,20.00,89.60,1,59.36
50.00,25.00,200.00,350.00,300.00,2.50,1.94,0.00,651.00,0.00,32.60,60.60,1,45.45
100.00,25.00,200.00,350.00,300.00,2.50,1.94,0.00,651.00,0.00,34.90,72.90,1,54.68
0.00,25.00,200.00,350.00,300.00,2.50,1.94,0.00,651.00,0.00,31.80,75.50,1,56.63
50.00,25.00,200.00,400.00,360.00,2.50,0.53,0.00,500.00,0.00,24.10,57.80,0,52.02
100.00,25.00,200.00,400.00,360.00,2.50,0.53,0.00,500.00,0.00,22.60,59.80,0,53.82
0.00,25.00,200.00,400.00,360.00,2.50,0.53,0.00,500.00,0.00,24.70,66.20,1,59.58
50.00,25.00,200.00,400.00,360.00,2.50,0.83,0.00,500.00,0.00,24.10,67.10,1,60.39
100.00,25.00,200.00,400.00,360.00,2.50,0.83,0.00,500.00,0.00,22.60,70.10,1,63.09
0.00,25.00,200.00,400.00,360.00,2.50,0.83,0.00,500.00,0.00,24.70,72.00,1,64.80
100.00,25.00,200.00,400.00,360.00,2.50,1.61,0.00,500.00,0.00,22.60,84.80,1,76.32
50.00,25.00,200.00,400.00,360.00,2.50,1.61,0.00,500.00,0.00,24.10,87.90,1,79.11
0.00,25.00,200.00,400.00,360.00,2.50,1.61,0.00,500.00,0.00,24.70,90.70,1,81.63
100.00,25.00,200.00,530.00,450.00,2.50,1.93,0.00,610.00,0.00,34.90,96.40,1,108.45
0.00,25.00,200.00,530.00,450.00,2.50,1.93,0.00,610.00,0.00,31.80,106.90,1,120.26
50.00,25.00,200.00,530.00,450.00,2.50,1.93,0.00,610.00,0.00,32.60,108.90,1,122.51
50.00,25.00,300.00,530.00,450.00,2.50,2.00,0.00,600.00,0.00,32.60,154.20,1,173.48
0.00,25.00,300.00,530.00,450.00,2.50,2.00,0.00,600.00,0.00,31.80,156.70,1,176.29
100.00,25.00,300.00,530.00,450.00,2.50,2.00,0.00,600.00,0.00,34.90,159.80,1,179.78
100.00,25.00,200.00,680.00,600.00,2.50,1.94,0.00,651.00,0.00,34.90,125.10,1,187.65
0.00,25.00,200.00,680.00,600.00,2.50,1.94,0.00,651.00,0.00,31.80,125.90,1,188.85
50.00,25.00,200.00,680.00,600.00,2.50,1.94,0.00,651.00,0.00,32.60,126.10,1,189.15
0.00,25.00,400.00,680.00,600.00,2.50,1.94,0.00,651.00,0.00,31.80,256.40,1,384.60
